numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 1565-2025,v2.0,"Modifican los Títulos IV y VII del Compendio de Normas de Superintendencia Reglamentarias del SPP, las Circulares N° AFP-139-2014 y N° AFP-079-2006, y dictan otras disposiciones",Resolución,Vigente,"SS, SPP",28/04/2025,24/04/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tMxDWi3gReh4kC7YB2K7JUbYoAUqt2nChFEMZPqf46yBLbUo8qtVKChX0EmhCTLt2+N90hpQpAudnols/aOBSF3DQv85Muuu2Dvvk/ocKzqA==
Oficio Múltiple N° 20805-2025,v1.0,Elegibilidad del efectivo y depósitos recibidos como contragarantías para el respaldo de obligaciones técnicas generadas por estas mismas,Oficio múltiple,Vigente,SS,,21/04/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sMZm5X4zJvqW1qQeMG+u5tm6lZp1ntyErfvXnNowNYBcq2HL3GoqJmllySpuSaT9D7IzJBcZjqEeFRPesXyjjd2rIsvpHN73U9Ho3xbf/ldw==
Circular G-227-2025,v1.0,Actualización del capital social mínimo de las empresas supervisadas correspondientes al trimestre abril - junio de 2025,Circular,Vigente,"SF, SS",07/04/2025,04/04/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v1MqndKyV0jiLuvnzCSVm8WRAKD3ppFoOsfL+kbCDR5WWgs75eb7keEnldeeu9Y/3MJL570ygk4ZtyJ7mG8mMosf1TJM+5RPyFWhlcnpHEEA==
Resolución SBS N° 01132-2025,v1.0,"Modifican el Reglamento de Auditoría Interna, el Reglamento de Auditoría Interna para las Cooperativas de Ahorro y Crédito No Autorizadas a Operar con Recursos del Público y la Circular N° G-161-2012 67.",Resolución,Vigente,"SF, SS, SPP, COOPAC",26/03/2025,24/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v92hDDTNESSmP2qva2qzNfolMjTsaY/qm8vv6WJjuc8Vfmv0jsUjxsSOm+3+o+pxdefZ5wKA8KSa8Wnury7NGVaxggTvNZWIq9jzHx2s2pYQ==
Oficio Múltiple N° 14579-2025,v1.0,Límite máximo de endeudamiento para certificados de participación de fondos mutuos y fondos de inversión elegibles.,Oficio múltiple,Vigente,SS,,17/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6ttJEODQMvqXKkoGRD3zpCa3p0CtgEdRFQ03zFHgJwwjZOiNRRTYdbSwTbijxwsWF8zVy7YCjMFGCu23HYG5zpsoK2c16Y5EgNSbp5bfT8Ptg==
Resolución SBS N° 00890-2025,v1.0,"Modifican el Reglamento de Gestión de Conducta de Mercado del Sistema Financiero, el Reglamento de Gestión de Conducta de Mercado del Sistema de Seguros, el Reporte de Comisiones y Principales Gastos aplicados por las empresas del Sistema Financiero, el Reglamento de Comisiones y Gastos del Sistema Financiero, y el Anexo 2 del Reglamento de Infracciones y Sanciones",Resolución,Vigente,"SF, SS",12/03/2025,07/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sKvPoJGQga2HxYRGwxlVODdYN5OJzOSBAFz1gPU8Y/xjGkZXUuvUnyPfiSeWnCoO2eWR8IKdwSRU++7LXuCMVrtNZQd8d6/HsDcZSbkdx0adfAPGh4NJc0N7VqCRUFxQwHUoSMfXy1HVCYYwiuFSiZ
Resolución SBS N° 556-2025,v1.0,"Modifican el Reglamento de Inversiones de las Empresas de Seguros, la Circular N° S-664-2017 y modifican los procedimientos TUPA N° 155 ¿Autorización para la aplicación del modelo de valor razonable para la valorización de inversiones en inmuebles de las empresas de Seguros¿ y N° 177 ¿Autorización para otras inversiones elegibles para el respaldo de obligaciones técnicas¿",Resolución,Vigente,SS,18/02/2025,14/02/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tMup1dBzY2+w/ys3uSS0jxAvegJ67jEiKoXEnJEygKGYnC9DTxR1zlNhJ+n4KjzjFmPFQT08wKua5HczC0XS9zMLe0IXjEASBNaopLly/Z1A==
Resolución SBS N° 00410-2025,v1.0,"Modifican el Plan de Cuentas para Empresas del Sistema Asegurador y las Disposiciones para la estimación de primas de seguro, invalidez, sobrevivencia y gastos de sepelio bajo póliza colectiva (SISCO).",Resolución,Vigente,SS,06/02/2025,04/02/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sKPAoSgi4OUFPy7znhy5nANiWS907sXpuTHNOmQ03WY4xNgc1TRNcQttcWcKM3zxe4lEF8CzLJP1aoAA7fek/hpwIOAaiWyTeCcwpf04PlQg==
"Circular CS-42-2025, AS-37-2025",v1.0,Actualización del capital social mínimo corredores y auxiliares correspondiente al año 2025,Circular,Vigente,SS,23/01/2025,21/01/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tONaSMK3r5Jr3ZL7CM/fmvSQYQ00z0kBZSy55pp14uYkxAHQXYF26Zuvfx4Ohh1zUSn3a2ArSlIQdFB7ccsl6DHXLkVJGvK1KXyTOM5OEPVV9sKGzb6hbR7vB7UbtmPOs=
Circular G-226-2025,v1.0,Actualización del capital social mínimo de las empresas supervisadas correspondientes al trimestre enero - marzo de 2025,Circular,Vigente,"SF, SS",10/01/2025,08/01/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tDn+q9J9CJqc4VqIju6ZZv/VLmj6DAaAXkyj1PfUAGKVN5T+mvBIyALnDzfQhmEdp6CG8wA8Dpb1FfOCUz28QsXrskTcYCPQ/aNWXoAPNoaA==
