numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 2835-2023,v1.0,"Modificación de la Resolución SBS N° 2368-2023 para precisar que dicha norma no aplica a las Coopac de Nivel 2 con activos totales mayores a 32,200 UIT ni a las Coopac de Nivel 3",Resolución,Vigente,COOPAC,29/08/2023,28/08/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vg9iQ+CCNOVCn6u3NhGFabUP5VPJ6LizJn6pioReamxEtrKmNRsbmZBeVbDgAcRiKnN76ACrW648QyWlLThRrtufo/5FZVKkVBYewHMteQUw==
Resolución SBS N° 02346-2023,v1.0,"Se establece que a la parte de los créditos reprogramados en el marco del Decreto de Urgencia N° 026-2022 que cuentan con la cobertura del Fondo de Apoyo Empresarial a la MIPYME del Sector Turismo (FAE-TURISMO), le resulta aplicable el mismo tratamiento dispuesto a la parte de los créditos que cuentan con la cobertura del Fondo de Apoyo Empresarial a la MYPE del Sector Turismo y se modifica el Manual de Contabilidad.",Resolución,Vigente,COOPAC,13/07/2023,12/07/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6viS1suuFap+ypOo9L0D3rvwArjHDPSlGn/ZAOd3HKs+Re8iAwKv0LfEo8jlAb3gUXSmk8R3xh/ZttX5Jk1rK2npj/aym26aLR6KdWbwrKVzg==
Resolución SBS N° 1814-2023,v1.0,"Modifican Reglamento de Infracciones y Sanciones de la Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones",Resolución,Vigente,"SF, COOPAC",25/05/2023,24/05/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vK+4FKgeXjiOHm/dnKivaq9RdDLP4VDfn2+CIjrig+DIHbIoUYLBYTwTHvQiGDKtHg5vXWqLXRRjhMbKZQHhM7pEQ+jd8kweb1LFdPjSTBnw==
Oficio Múltiple N° 18718-2023-SBS,v1.0,Precisiones sobre el Programa Impulso Empresarial MYPE (IMPULSO MYPERU) a que se refiere la Ley N° 31658,Oficio múltiple,Vigente,COOPAC,,21/04/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6temz3gwkg/F+0FFO4dJ00OCtKN4qrdFGmTevqx2eHTBC9K2UGL/I7LT5XRPOe1JF/N86GczKTKJ28VAoxqMFepjUjAHTFAm6SUQZ/+n2SKtA==
Resolución SBS N° 1297-2023,v1.0,Modifican el Reglamento del Fondo de Seguro de Depósitos Cooperativo,Resolución,Vigente,COOPAC,14/04/2023,13/04/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6s1F0muN7SLXNNB711QeWYN0i9Ecl/LApY60h2fJLYCF6YH5AkPpisG03Xk5tDAWhZPSqI5LEiLdCVRIQAJHo3KLIEz0CWiovWR2fafGUiRHQ==
Resolución SBS N° 1213-2023,v1.0,Establecen precisiones sobre aspectos de carácter prudencial y contable que deben ser considerados por las COOPAC que participen del Programa IMPULSO MYPERU y modifican el Manual de Contabilidad para las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público de Nivel 2 y 3,Resolución,Vigente,COOPAC,05/04/2023,04/04/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6v4pNTFzU6Ya/eUHc8BJjlsKxEYJmGCMOXpoD2oW0j07JuIU/Ph5tE3anOFH1YCK0rIRN8ehdvELKrXREdlrYrgGMoyivdm0xaSL+U/TrKXlw==
Resolución SBS N° 00838-2023,v1.0,"Modifican el Reglamento de Patrimonios Autónomos de Seguro de Crédito de las Cooperativas de Ahorro y Crédito (COOPAC), el TUPA de la Superintendencia de Banca, Seguros y AFP; asimismo, los Manuales de Contabilidad para las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público de Nivel 1, 2 y 3",Resolución,Vigente,COOPAC,10/03/2023,08/03/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6txPP4A8Q2cAXRKsEnvj1PPuAxpaVyCSSsDiknm/klXizRbvTapHHz+zYihKUdZ0ImME1fdpzmx+O0fEn0U12LMJLIPIJwnlFTYfVEap6BxTQ==
Resolución SBS N° 739-2023,v1.0,"Modifican el artículo 35 del Reglamento de Gestión de Riesgo de Crédito, y dictan otras disposiciones",Resolución,Vigente,"SF, SS, SPP, COOPAC",03/03/2023,01/03/2023,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uhWDNy1kSVW2ojYqqKQ/J2U+bBZRk5OeFf+K9/jTcRWTIKdDEUDj6Nj2WlSbLQ0jcRvE8/+VXrYgIoQbWrCFA+XOaNF594JwknRYkYBbgYBw==
Oficio Múltiple N° 45398-2022-SBS,v1.0,Precisiones sobre el Fondo de Apoyo Empresarial para el sector textil y confección (FAE-TEXCO) a que se refiere el Decreto de Urgencia N° 012-2022 y sus modificatorias,Oficio múltiple,Vigente,COOPAC,,19/10/2022,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6utZ6H6MF5VGk9d40hRkCiHXrxjjTzIYk/P9FRtYFdv25KWD4879LNvfFTG37LVGb68Y8E7uh/0Ih3cI+M4+q2M+Pj4kZC3DNfMHd/EGFYlhg==
Resolución SBS N° 3177-2022,v1.0,Establecen precisiones que deben ser consideradas por las COOPAC que participen en el marco del FAE-TEXCO y modifican el Manual de Contabilidad para las Cooperativas de Ahorro y Crédito No Autorizadas a Captar Recursos del Público de Nivel 2 y 3.,Resolución,Vigente,COOPAC,18/10/2022,17/10/2022,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vDsUva01wueaL0BleNsam3pRsfEsqUjeUCkSSRCrp5jo7371GB+ZkrHtoNpucmabehAezevJZaarnonIbY19binmGYiKw1HLiQP+h37+Q37Q==
