numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Resolución SBS N° 907-2025,v1.0,"Modifican el Título VI del Compendio de Normas de Superintendencia Reglamentarias del SPP, a fin de incorporar a las acciones locales no inscritas como instrumentos de inversión elegible para los fondos de pensiones",Resolución,Vigente,SPP,14/03/2025,07/03/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vFtW2okJ88PPe9r4SBkY8zFgXVAqfJm+HFNgKEkY5ZLtyCzpMFOaKKNKGZ67vUokcIf4CsfiWgZ7B9DtOt2LC0n3mrKZ8W8RlLOAdd6AZLvw==
Resolución SBS N° 00715-2025,v1.0,"Modifican el Título VII del Compendio de Normas de Superintendencia Reglamentarias del SPP, referido a Prestaciones, aprobado por la Res. N.º 232- 98-EF/SAFP y sus normas modificatorias",Resolución,Vigente,SPP,25/02/2025,24/02/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6t7kHP113iW0gTLkDyrbVhk+SYXiMomYn5bQvkfS0MoA2jPLY+rv8EJAeapbgR7KqTGWbfdqY7aEEENu7kON3VtnVGFXNm1RfHUcTOaY76tYYs9rChivLix0UzQ3gp6WDWwwZriyboRhGvE01MoWeef
Circular AFP-185-2024,v1.0,Disponen la actualización del capital mínimo de las AFP para el año 2025,Circular,Vigente,SPP,23/01/2025,21/01/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6snUsTZyLSYqoThczNHzFFdXk42LQsgjeWkoozjLBFjXNPNWpm7utu70fD4EwhTdBgzwoH9tfRlcLjE6KYhmg+z5q962PTXOO3zdn4UmXgyPQ==
Oficio Múltiple N° 73121-2024-SBS,v1.0,Aclaración sobre las bases de la sétima licitación de nuevos afiliados,Oficio múltiple,Vigente,SPP,,04/12/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tfHL+lix8jN7hedfYbxnXPcf2DUB2h4Nw1/T1fyWIRRkdcMmBYaq77n/ROk8SDJPV4shynrAWVosuYQnBEtduvXodqfKAJ9B2B0ma430ZCEA==
Circular AFP-184-2024,v1.0,Establecen las Bases de la Sétima Licitación de Afiliados - Ley N° 29903.,Circular,Vigente,SPP,14/11/2024,12/11/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tbmU031TtHccaVwnmZWtTW/QAJWxvpM76/t/FzRt7ZCv6Jg4OTIidRAMKTtaJ44CiWEcrV7shMvunc6EpyDsryalKK63E9sTSyNZ2Hm5yLGw==
Resolución SBS N° 3878-2024,v1.0,Modifica el Título V del Compendio de Normas del SPP a fin de establecer disposiciones complementarias para el proceso de la sétima licitación de afiliados del Sistema Privado de Pensiones (SPP).,Resolución,Vigente,SPP,14/11/2024,12/11/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vzZqn36savPoqx2ij/ApPi+THhU8n6C7q6bTGoTl/FEr+FfovVehgziwK/3ImnDgz06nnrusjNwpL1pUnwn8FLRmsMKYkCpa+7lajHILM7Ow==
Oficio Múltiple N° 63926-2024-SBS,v1.0,Guía Metodológica de Límites de Inversión,Oficio múltiple,Vigente,SPP,,18/10/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uFpVNIlwp0w0/6muE+IWE+T8Gf+nnHjLmCyD70XGuYhLn5oPl958H3fkOf0oscIofVw2nfWCN5yqWLu7bH1YLW7zGj83ZqFo88aP77wqnhYA==
Resolución SBS N° 3514-2024,v1.0,"Incorpora el Subcapítulo V ""Aplicación a las inversiones del Fondo Cero"" al Capítulo IV del Título VI del Compendio de Normas del SPP, y modifica los artículos 75-K y 24 del Título VI.",Resolución,Vigente,SPP,09/10/2024,02/10/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tKuxJeWUJeSufWWqgAUMI2DnlqoNkgm3s2JHAkV8GK/mZTjXSxi30zwU/quC8goVMFmRVAf2TrFitzszdCKWF6g8CGSLtXWIqZfvcU5/mMlw==
Resolución SBS N° 3251-2024,v1.0,"Modifican el Título VII del Compendio de Normas de Superintendencia Reglamentarias del Sistema Privado de Administración de Fondos de Pensiones, y dictan otras disposiciones.",Resolución,Vigente,SPP,16/09/2024,13/09/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tQNQyRS2nW6v0J5obQ0ueYW6iOK8AmdQh1WgIIQhbj9eK1a3st68jo8ZSJuKDuwp8bV0UEUg1wBM0rHqJOfOjg8zX5IwC8/KlcbTT7Ca8ndg==
Resolución SBS N° 3141-2024,v2.0,"Aprueban la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias contra las empresas supervisadas, y modifican el TUPA de la Superintendencia de Banca, Seguros y Administradoras Privadas de Fondos de Pensiones.",Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT, LA/FT_SBS",09/09/2024,06/09/2024,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6twbgP3zQ3E9CWdAI/3FIkK1k/cROb8TnK1a/eagQZfpILdVxJnVpEornpPLnfbGZCfhZU8c1TzD/MnSwzngefw
