numero_norma,version,sumilla,tipo,estado,sistema,fecha_publicacion,fecha_emision,enlace
Circular G-231-2026,v1.0,Actualización del capital social mínimo correspondiente al trimestre enero - marzo de 2026,Circular,Vigente,"SF, SS",14/01/2026,12/01/2026,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vQythd1DVFauUKR8a+LfzcTswBA4OwciudfoXk8I5T81JB8mIHIVJZTztGIGIrCvQB3vxdTJpvsz2+Zy0iRj1lMMyrXrn7/VSJvwgqZ7XN7Q==
Resolución SBS N° 4512-2025,v1.0,"Modifican el Reglamento para la Elección de los Representantes al Directorio de las Cajas Municipales de Ahorro y Crédito, aprobado por Resolución SBS N° 5788-2015 y sus modificatorias",Resolución,Vigente,SF,31/12/2025,30/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uxe3sg3te42xGj3/GuJFMxmHGR/hOszxTYwadyIJLar9LXZ/59d4V4wOOYI9K+W40+HPVu3JGPhahpYrEgzkLl2h0+W+9MAJS4y1QYUs8eG1dzswF9NuTS2jAbXYoPSPo=
Resolución SBS N° 4345-2025,v1.0,"Modifican las Normas para la cobertura, recursos y pago de imposiciones cubiertas del Fondo de Seguro de Depósitos, aprobadas por Resolución SBS N° 0657-99",Resolución,Vigente,SF,11/12/2025,10/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uA83acZqQcb5mnYmQ92KZ51MIx/rW7tHhdPMpNQWKBgm2hFLWWt0kdNxdMdmnBHQFlAWytt+VUlhKIFN+UZmUpwqo2qpJAKrwloZdNaDPMMA==
Resolución SBS N° 4320-2025,v1.0,"Modifica los Reglamentos de Gestión de Reclamos y Requerimientos y de Comisiones y Gastos del Sistema Financiero, y la Norma que regula los servicios que brinda la SBS a los ciudadanos y la atención de denuncias",Resolución,Vigente,"SF, SS, SPP",06/12/2025,04/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tc++IUihQS3qjMZWVxetHNiewwCYNGPeonLWGWT8IDf7j95ec1nxJNHPFJrSlKJQFMLlzCjqHGNu0ur+45ZVCD
"Circular B-2277-2025, F-615-2025, CM-464-2025, CR-331-2025",v1.0,Actualización del monto máximo de cobertura del Fondo de Seguro de Depósitos correspondiente al trimestre diciembre 2025 - febrero 2026,Circular,Vigente,SF,05/12/2025,03/12/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tNYwz56xUKh3ty/eh6nIexPyl1I88z4/WdYh7oyLbHid+HZBYsHxhEKVVnyLB2T20bbECgueisF1sOjJFO8cvqETuWn033W3YzenEPXW2rFA==
Resolución SBS N° 4225-2025,v1.0,"Renominan el Título II, así como la Única Disposición Complementaria Final por Primera Disposición Complementaria Final, e incorporan el Capítulo V y la Segunda Disposición Complementaria Final al Título II del Compendio de Normas de Superintendencia Reglamentarias del SPP, aprobado por Resolución N° 054-98-EF/SAFP y sus modificatorias, referidas a las autorizaciones de organización y funcionamiento de las Administradoras Privadas de Fondos de Pensiones; y dictan otras disposiciones.",Resolución,Vigente,"SF, SS, SPP",27/11/2025,25/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sp1bzzovDsaZcxV0phb1zhYyKNKUk94CBxF1Pt76Vu4eL8KBHmdGAtG9gfMmoEimVHOn1MdRtb/lWaVQ8qzAvU1iK8dIFhTn7LUXpUz04BnQ==
Resolución SBS N° 04200-2025,v1.0,"Modifican el Reglamento para la Supervisión Consolidada de los Conglomerados Financieros y Mixtos, aprobado por la Res. SBS N° 11823- 2010 y sus modificatorias y TUPA N° 221",Resolución,Vigente,"SF, SS",26/11/2025,24/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6uppq5jLSZdCO3NafM/pBgW7OHlW3r81ZgwxL2v8j5A20P4nZhp9LhwqZcSJ7de+ac+2zPaGlXV1aHA00vYtrJdYj33HiS37dzOqBv9BsIgoQ==
Resolución SBS N° 04142-2025,v1.0,Modifican el Reglamento para la Realización Temporal de Actividades en Modelos Novedosos y el TUPA N° 202.,Resolución,Vigente,"SF, SS, SPP, COOPAC, AFOCAT",24/11/2025,19/11/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6skIZXJhJKn8SgPSKWiPaWsAUGDbI9D+SG+My3HMuN7zIR5bZ5zUOZtvahOo8ExAV+/2XDS2ug8KmD9k+EaZsOMj+wPyuxO+tsPlYTqGlq6bQ==
Resolución SBS N° 3763-2025,v1.0,"Renominan y modifican el ¿Procedimiento Operativo para disponer de hasta el 25% del Fondo de Pensiones de los afiliados del Sistema Privado de Pensiones destinado a la compra de un primer inmueble¿, aprobado por Resolución SBS N° 3663-2016",Resolución,Vigente,"SF, SPP, COOPAC",17/10/2025,16/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vOLfBAuLw5EBwLVXPPIGiyO/WtfF/ZkXXJiClVBzhi+uXSxKlDWF9eClIjSDrqx2Jewx1j5rsJpa8K8zNv9c4saumQ+sWIG9wlGUPrwlQGlg==
Oficio Múltiple Nº 55909-2025-SBS,v1.0,Plan de implementación relacionado a la Resolución SBS N° 02663-2025,Oficio múltiple,Vigente,SF,,14/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6ve3ipLQLVBCjE0lHPwfuY1FqJzg3dx8qA87+DifwSBi9AGIv3fGs1osOPbXNRX4vKIQT+pjZ2KhXSeO81lyJ5SSH7DmZdOVBX4wPH3QMuNn0TjDPhucTc/sk3UEioJTJP6DX+BO2lxtOZptGHu5pHZ
Resolución SBS N° 03716-2025,v1.0,Modifican el Capítulo V Información Complementaria del Manual de Contabilidad para las Empresas del Sistema Financiero para incorporar el nuevo Reporte N° 28 denominado Información financiera de deudores no minoristas y dictan otras disposiciones,Resolución,Vigente,SF,17/10/2025,14/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vjj9zVX0Up3ZhrdS+Osp+k6fBEq4sXIctAyA3dCuM6KZgAtQ0zqEu5VhDU5EgTT8wqbEnteN/pvuuYpoj7vYCe/23V6rIzDv345wiU9qDl1g==
Circular G-230-2025,v1.0,Actualización del capital social mínimo de las empresas supervisadas correspondiente al trimestre octubre - diciembre de 2025,Circular,Vigente,"SF, SS",15/10/2025,13/10/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6tQyzNMPewWMFprlfzW9ZtOzaCJWULLcxtxCPE+bPboAmtp3UmWKSWRldtL8keZZzUuM4+7ySPqvZskzYEBRoqFQF7PBn7a9lT74y28hYHfzg==
Resolución SBS N° 03401-2025,v1.0,"Modifican artículo tercero y la Primera Disposición Complementaria Final del Reglamento de Gestión de Riesgo Cambiario Crediticio aprobado por Resolución SBS N° 774-2025; y sustituyen la numeración de los literales w, x, y, z, aa y bb que se incorporan mediante el numeral 3 del artículo primero de la Resolución SBS N° 4345-2023, por los literales x, y, z, aa, bb y cc.",Resolución,Vigente,SF,26/09/2025,19/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sx1GaFSz5F1YIfAVVktEdE+KKQZogx21sRKT13fxZepKZ4LmmPewJ/iujpvWGL24w9zmsA72g/OrrFaNI+keb8FbMMtAdWND/cJ6B0ip8X/g==
Resolución SBS N° 3289-2025,v1.0,Modificación del artículo 17 del Reglamento de Tarjetas de Crédito y Débito,Resolución,Vigente,SF,19/09/2025,17/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6vmBtzx+jBS+KUBabxpmLKh8z48IPJ3A2pdZ9589P0uJvjxbpe3bpqrQ2EWUfSkB+5cEZhkWFE3A/a98HQTrSAOJnQ1N0Rdi02FB1g8Ph4t0LR1z/tmkAkMdapkoJCLI5ArPlubQsAp4qNUOiO/QsG+
Resolución SBS N° 03231-2025,v1.0,Modifican fechas de entrada en vigencia establecidas en el Artículo Cuarto de la Resolución SBS N° 814-2025 para las empresas distintas a aquellas con concentración de mercado y el Banco de la Nación; y dictan otras disposiciones,Resolución,Vigente,SF,17/09/2025,10/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sZKClpFgLwA/5pAIJ6FCqpE/ML+QutrTyQr8/X7NV/CpVfpLgVyyR/WZQfema30PQBMRfcF5j3C2domJirzZgVhnfKToWkNcBQB2XdrWr81w==
"Circular B-2276-2025, F-614-2025, CM-463-2025, CR-330-2025",v1.0,Actualización del monto máximo de cobertura del Fondo de Seguro de Depósitos correspondiente al trimestre setiembre 2025 - noviembre 2025,Circular,Vigente,SF,05/09/2025,04/09/2025,https://www.sbs.gob.pe/app/pp/INT_CN/Paginas/Busqueda/Download.aspx?url=p8ehJETNq5hYZsadCTQlDA1Pw7aAvNcREl6DVQhESNiouiM3fzeprEeqSY0+Ubw+IMYa9V8Zay/mgvD1uvX66Ar+LIbOKeBV02kcyJ2IZ6sh1/iJ7jd9T0BQpgF3CqCEW29c7nHU+oM2vfhQ6tAqq5PEjW3vnle7hI/koS/aeGgKcBmqO40Hz9Ghk6KU9oSW/gAjQIj2S57J+lTnriIbKg==
